p_merge,fragment_rate,avg_fit,best_fit,final_S0,final_S1,final_S2,final_NND
0.4,0.0,1.382565525462232,1.010157963360085,128.55,14.200200173983552,402.42878078719116,64.3923784875843
0.4,0.0005,1.4080378549694208,1.0576388997351565,130.08,13.958327432554194,392.9274858033267,64.47545667706183
0.4,0.001,1.4439160341856603,1.0646632399429148,130.49,13.890900571738019,389.920788775364,63.60275554601516
0.4,0.0015,1.4939018039334733,1.1617795193405955,132.13,13.737233030254488,384.7319445304441,63.13983591833008
0.4,0.002,1.5190845590601236,1.1342438661660046,133.58,13.607195773349986,377.91573161577287,62.81118792937364
0.425,0.0,1.3570642643151596,1.0333618542172225,127.32,14.226088673481357,404.66895518736214,65.21551656210029
0.425,0.0005,1.3425384026177989,1.0557519703768352,127.27,14.278669737804453,407.8226879078192,64.60696563553321
0.425,0.001,1.3788153775829475,1.0171076852114969,129.27,14.054492857981375,398.9630195993112,64.24705849811382
0.425,0.0015,1.3991816229358338,1.085521098404839,129.6,14.035069518353803,400.6877870052986,63.69759073131922
0.425,0.002,1.4066110550970243,1.0898115979589986,129.78,14.052186963243171,404.71471051179566,63.6731479453003
0.45,0.0,1.2657949743966883,1.0198224258685102,123.28,14.805975569416148,432.81822285175707,66.59969924068196
0.45,0.0005,1.3128571603920167,1.046865947499539,125.07,14.5399203861862,418.6598587581869,65.4595759365842
0.45,0.001,1.3394681791267997,1.0620894257481162,126.38,14.387433975019281,410.16049940502097,64.80741498225218
0.45,0.0015,1.3550705834245684,1.0774171614805623,127.24,14.256551483154706,410.20813834834416,64.14721222351433
0.45,0.002,1.378451756724394,1.0961557015908352,128.4,14.179695620311291,404.24806726344303,64.78223560678133
0.475,0.0,1.2528378083279625,0.939764617073554,121.6,14.991568989507027,443.73762504634794,66.6934606021613
0.475,0.0005,1.2872080987079075,1.0429779689241019,122.96,14.856463074249682,433.0486630169071,66.06295532678637
0.475,0.001,1.3065862362939904,1.0424629624288653,125.1,14.588757215574136,424.51212587682215,65.42172993328083
0.475,0.0015,1.296635264365684,0.9838419700647457,125.69,14.481885504476832,424.3313018935724,65.72305887268622
0.475,0.002,1.337606980799885,1.0783604357613121,126.49,14.359153934597591,418.9908571557306,64.613487063803
0.5,0.0,1.2409963047781079,1.0068383801003853,120.31,15.112913572506407,448.8249969217653,67.47237565037739
0.5,0.0005,1.2689515470111155,1.0367889675705557,122.16,14.915338650200686,436.9669779344069,66.52011607127969
0.5,0.001,1.2720248971029506,1.0178709154253136,122.58,14.915765424379417,446.2764931223581,66.57620601853836
0.5,0.0015,1.2643564427507532,0.9678296796604359,123.57,14.775584994439457,436.3702863801531,66.52043046385559
0.5,0.002,1.312113209211391,1.0719669491635184,124.85,14.590351351478407,431.4427745758793,66.07764178668755
0.525,0.0,1.2483611961825232,1.0046091230643017,118.8,15.373058854453664,461.22395902523573,67.56856936360624
0.525,0.0005,1.2788217737240872,1.052302219464313,120.85,15.031214187311335,444.2999929576374,66.83686373762151
0.525,0.001,1.2600028094639604,0.9691432416879757,122.31,14.90576092443236,444.58773138346464,66.53393538541638
0.525,0.0015,1.2808110175557763,1.019527535310174,122.98,14.790784254455527,438.2769405467715,66.37575652736422
0.525,0.002,1.2929228966878503,1.05637316715825,123.36,14.770960482235278,436.7945392754307,65.77935665374414
0.55,0.0,1.2387490514700417,0.9462736063019366,117.49,15.4785954008489,472.40591815280624,68.57142920627517
0.55,0.0005,1.2579516112696836,0.8397577839414684,118.88,15.248182015899522,459.8852887143377,68.30934304313102
0.55,0.001,1.2578328119317979,0.9843705529577864,119.32,15.305339305629447,462.9514521993851,68.00515750745716
0.55,0.0015,1.2682730117224943,1.0063140594745672,121.13,14.993026574258677,446.92331187808674,66.46948372301154
0.55,0.002,1.2821352270223496,0.9929519130802129,121.63,14.999596972186584,448.61572295919393,66.37028352514061
0.575,0.0,1.2385847562814292,1.0254004042786242,117.37,15.54626016033024,475.055785241936,68.13715385614265
0.575,0.0005,1.251913969112098,1.0366372013212581,118.26,15.376583047633217,463.9540652854766,68.4582886910785
0.575,0.001,1.2519246987310728,0.9872695055282319,118.81,15.365277388431489,470.73922949902845,68.11926198114324
0.575,0.0015,1.2464005309030544,1.0540763036207947,119.46,15.23712337017328,463.838222150734,67.67361810353182
0.575,0.002,1.2397917861741983,1.0476809727549743,120.57,15.096681972685936,452.7580196234994,67.36723634069494
0.6,0.0,1.2555908250509724,1.0451435718167716,115.63,15.80309071290699,482.27970470132624,69.48179790504494
0.6,0.0005,1.2643402261275254,0.9463948097799597,116.82,15.628675764754266,481.4828190542381,68.56455113066788
0.6,0.001,1.264263603085993,1.0172041197332733,117.26,15.540628851497727,478.8934947559373,68.29311868759615
0.6,0.0015,1.2574724773956256,0.9657124430674846,117.26,15.55462126917535,478.69233523628316,68.14904709747785
0.6,0.002,1.2890901466824363,0.9918256938909357,120.16,15.179468921575042,463.69945245974037,66.92991644250121
0.625,0.0,1.274636978535129,1.0538084779291925,114.64,15.85524436807402,486.28744859430265,69.26085029657952
0.625,0.0005,1.2646901382129538,0.960304666806823,114.93,15.835289748662449,488.4637133689333,69.06175195961762
0.625,0.001,1.265947084890583,0.9779367485190662,115.4,15.810517256180155,493.7675523610696,69.09528838504383
0.625,0.0015,1.2763646410827758,1.042519985902323,117.64,15.476008557968669,479.37282345916117,68.57319856530101
0.625,0.002,1.2991178561804515,1.0189123388818924,118.15,15.514078981539791,484.4238365660923,68.04809209171184
0.65,0.0,1.290028532478432,1.0775463660731743,114.14,15.960386539850644,497.0581503878053,69.75019036361054
0.65,0.0005,1.295406954677431,0.9787484773254652,115.5,15.76170012311773,486.76666017994876,69.42259487681888
0.65,0.001,1.2910590537004705,1.0333601785139015,115.63,15.83805219309037,498.32231353000475,69.25477011289648
0.65,0.0015,1.2984172365140854,1.0982258664533322,117.02,15.556782074178352,477.3747790363602,68.70863939010168
0.65,0.002,1.300806502006262,0.9799756622673924,117.26,15.567884418346791,486.9230608424668,68.42076232269442
0.675,0.0,1.3431139036179907,1.044996674694396,113.33,16.08904383829383,495.8427951040596,69.54964150896541
0.675,0.0005,1.3348004713823909,1.0285102167138824,113.42,16.12638643288445,509.7729167568716,69.2115033901312
0.675,0.001,1.2756604396730356,1.0606738868451684,115.23,15.792021218019418,491.7904486208273,69.12790693517208
0.675,0.0015,1.3134217206192897,1.0096531784159344,115.37,15.78141990064545,499.41042899179297,69.29653918011459
0.675,0.002,1.286693179625456,1.0355405828092,116.48,15.647545308839135,482.6745590230673,68.54557846770662
0.7,0.0,1.3654910848053359,1.0834476289111914,111.91,16.29120318985592,511.52579938441045,70.26603492233852
0.7,0.0005,1.3475879316183288,0.9920307695594504,112.79,16.17344916401825,509.21311681844605,69.95095794116843
0.7,0.001,1.3465926192478983,1.0759530885634165,112.94,16.191371825801667,521.8180739279848,70.31076314126915
0.7,0.0015,1.323529222946763,1.0711738783342175,115.54,15.83321764016458,501.1653743136569,69.22891536045259
0.7,0.002,1.305825239557672,1.055719145487904,115.61,15.741800018777292,493.12272329273355,68.89485992248379
